ReportID,Fecha,Capitulo,CodigoEDT,Actividad,Unidad,CantidadPlanificada,CantidadEjecutada,Notas
REP-SYN-0001,2026-06-01,OBR-PRE,OBR-PRE-01,Limpieza de terreno manual,m2,300,262,Trabajo conforme a especificaciones técnicas.
REP-SYN-0001,2026-06-01,OBR-PRE,OBR-PRE-03,Cerco provisional de obra con madera,m,30,24,Cuadrilla completa rindiendo según lo programado.
REP-SYN-0001,2026-06-01,OBR-PRE,OBR-PRE-04,Construcción de almacén y oficina provisional,Global,0.1,0,Supervisión aprobó los trabajos ejecutados.
REP-SYN-0002,2026-06-02,OBR-PRE,OBR-PRE-01,Limpieza de terreno manual,m2,300,320,Trabajo conforme a especificaciones técnicas.
REP-SYN-0002,2026-06-02,OBR-PRE,OBR-PRE-02,"Trazo, nivelación y replanteo de zapatas",m2,250,228,Avance normal sin observaciones.
REP-SYN-0002,2026-06-02,OBR-PRE,OBR-PRE-03,Cerco provisional de obra con madera,m,30,27,Supervisión aprobó los trabajos ejecutados.
REP-SYN-0002,2026-06-02,OBR-PRE,OBR-PRE-04,Construcción de almacén y oficina provisional,Global,0.1,0,Cuadrilla completa rindiendo según lo programado.
REP-SYN-0003,2026-06-03,OBR-PRE,OBR-PRE-01,Limpieza de terreno manual,m2,300,232,Supervisión aprobó los trabajos ejecutados.
REP-SYN-0003,2026-06-03,OBR-PRE,OBR-PRE-02,"Trazo, nivelación y replanteo de zapatas",m2,250,210,Cuadrilla completa rindiendo según lo programado.
REP-SYN-0003,2026-06-03,OBR-PRE,OBR-PRE-03,Cerco provisional de obra con madera,m,30,26,Avance normal sin observaciones.
REP-SYN-0003,2026-06-03,OBR-PRE,OBR-PRE-04,Construcción de almacén y oficina provisional,Global,0.1,0,Trabajo conforme a especificaciones técnicas.
REP-SYN-0004,2026-06-04,OBR-PRE,OBR-PRE-01,Limpieza de terreno manual,m2,300,325,Supervisión aprobó los trabajos ejecutados.
REP-SYN-0004,2026-06-04,OBR-PRE,OBR-PRE-02,"Trazo, nivelación y replanteo de zapatas",m2,250,247,Cuadrilla completa rindiendo según lo programado.
REP-SYN-0004,2026-06-04,OBR-PRE,OBR-PRE-03,Cerco provisional de obra con madera,m,30,33,Supervisión aprobó los trabajos ejecutados.
REP-SYN-0004,2026-06-04,OBR-PRE,OBR-PRE-04,Construcción de almacén y oficina provisional,Global,0.1,0,Avance normal sin observaciones.
