ReportID,Fecha,Capitulo,Supervisor,Turno,HorasEfectivas,ClimaAM,ClimaPM,PersonalTotal,Conflictos,PlanProximoDia,Observaciones,NumActividades,NumMO,NumMateriales,NumEquipos
REP-SYN-0001,2026-06-01,OBR-PRE,Ing. Alejandro Rivas,Mañana,6,Nublado,Lluvia,7,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,3,1,1
REP-SYN-0002,2026-06-02,OBR-PRE,Ing. Alejandro Rivas,Mañana,6,Nublado,Lluvia,8,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,4,3,1,1
REP-SYN-0003,2026-06-03,OBR-PRE,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,9,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,4,3,1,1
REP-SYN-0004,2026-06-04,OBR-PRE,Ing. Alejandro Rivas,Mañana,6,Nublado,Lluvia,7,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,4,3,1,1
REP-SYN-0005,2026-06-05,MOV-TIE,Ing. Alejandro Rivas,Mañana,8,Soleado,Nublado,11,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,1,3,0,2
REP-SYN-0006,2026-06-05,OBR-PRE,Ing. Alejandro Rivas,Mañana,8,Soleado,Nublado,7,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,4,3,1,1
REP-SYN-0007,2026-06-06,MOV-TIE,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,12,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,2,3,0,2
REP-SYN-0008,2026-06-06,OBR-PRE,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,9,Sin restricciones mayores.,Continuar con actividades programadas según plan de obra.,Jornada normal. Avance conforme al programa.,3,3,1,1
REP-SYN-0009,2026-06-07,MOV-TIE,Ing. Alejandro Rivas,Mañana,4,Nublado,Lluvia,10,Lluvia intensa en la tarde. Trabajos suspendidos desde las 14:00.,Recuperación de jornada. Trabajos planificados en Estructuras.,Paralización parcial por condiciones climáticas adversas.,3,3,0,2
REP-SYN-0010,2026-06-07,OBR-PRE,Ing. Alejandro Rivas,Mañana,4,Nublado,Lluvia,8,Lluvia intensa en la tarde. Trabajos suspendidos desde las 14:00.,Recuperación de jornada. Trabajos planificados en Estructuras.,Paralización parcial por condiciones climáticas adversas.,3,3,1,1
