ReportID,Fecha,Supervisor,Turno,HorasEfectivas,ClimaAM,ClimaPM,PersonalTotal,InspeccionRealizada,DetallesSeguridad,Incidentes,Conflictos,Observaciones
REP-SYN-S-001,2026-06-01,Ing. Alejandro Rivas,Mañana,6,Nublado,Lluvia,8,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-002,2026-06-02,Ing. Alejandro Rivas,Mañana,6,Nublado,Lluvia,9,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-003,2026-06-03,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,7,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-004,2026-06-04,Ing. Alejandro Rivas,Mañana,6,Nublado,Lluvia,9,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-005,2026-06-05,Ing. Alejandro Rivas,Mañana,8,Soleado,Nublado,22,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-006,2026-06-06,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,21,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-007,2026-06-07,Ing. Alejandro Rivas,Mañana,4,Nublado,Lluvia,20,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Lluvia intensa en la tarde. Trabajos suspendidos desde las 14:00.,Reporte integral de seguridad - Paralización parcial por condiciones climáticas adversas.
REP-SYN-S-008,2026-06-08,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,20,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-009,2026-06-09,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,20,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-010,2026-06-10,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,18,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-011,2026-06-11,Ing. Alejandro Rivas,Mañana,6,Nublado,Lluvia,10,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-012,2026-06-12,Ing. Alejandro Rivas,Mañana,7,Soleado,Nublado,14,Sí,Charla de seguridad reforzada post-incidente. Se revisaron protocolos.,Resbalón de peón en rampa de acceso. Atención en primeros auxilios. Sin baja laboral.,Incidente leve: resbalón de peón en zona de excavación. Atención en primeros auxilios.,Reporte integral de seguridad - Se reportó incidente sin baja laboral. Se reforzaron medidas de seguridad.
REP-SYN-S-013,2026-06-13,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,13,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-014,2026-06-14,Ing. Alejandro Rivas,Mañana,8,Nublado,Nublado,10,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-015,2026-06-15,Ing. Alejandro Rivas,Mañana,8,Soleado,Soleado,35,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
REP-SYN-S-016,2026-06-16,Ing. Alejandro Rivas,Mañana,8,Soleado,Nublado,34,Sí,Charla de 5 minutos dictada. Inspección de EPPs y áreas de trabajo conforme.,Ninguno,Sin restricciones mayores.,Reporte integral de seguridad - Jornada normal. Avance conforme al programa.
