ReportID,Fecha,Capitulo,TipoRecurso,CodigoRecurso,Recurso,Cantidad,Unidad,CostoUnitario
REP-SYN-0001,2026-06-01,OBR-PRE,Mano de Obra,LH-CAP,Capataz de Edificación,8,Hora Hombre,28
REP-SYN-0001,2026-06-01,OBR-PRE,Mano de Obra,LH-OPE,Operario de Obra Civil,24,Hora Hombre,22.5
REP-SYN-0001,2026-06-01,OBR-PRE,Mano de Obra,LH-PEO,Peón de Construcción,16,Hora Hombre,14.5
REP-SYN-0001,2026-06-01,OBR-PRE,Material,MAT-CEM,Cemento Portland Tipo I (bolsa 42.5kg),5.13,Bolsa,24.5
REP-SYN-0001,2026-06-01,OBR-PRE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,3.44,Hora Máquina,55
REP-SYN-0002,2026-06-02,OBR-PRE,Mano de Obra,LH-CAP,Capataz de Edificación,28,Hora Hombre,28
REP-SYN-0002,2026-06-02,OBR-PRE,Mano de Obra,LH-OPE,Operario de Obra Civil,12,Hora Hombre,22.5
REP-SYN-0002,2026-06-02,OBR-PRE,Mano de Obra,LH-PEO,Peón de Construcción,15,Hora Hombre,14.5
REP-SYN-0002,2026-06-02,OBR-PRE,Material,MAT-CEM,Cemento Portland Tipo I (bolsa 42.5kg),4.79,Bolsa,24.5
REP-SYN-0002,2026-06-02,OBR-PRE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,2.46,Hora Máquina,55
REP-SYN-0003,2026-06-03,OBR-PRE,Mano de Obra,LH-CAP,Capataz de Edificación,18,Hora Hombre,28
REP-SYN-0003,2026-06-03,OBR-PRE,Mano de Obra,LH-OPE,Operario de Obra Civil,21,Hora Hombre,22.5
REP-SYN-0003,2026-06-03,OBR-PRE,Mano de Obra,LH-PEO,Peón de Construcción,21,Hora Hombre,14.5
REP-SYN-0003,2026-06-03,OBR-PRE,Material,MAT-CEM,Cemento Portland Tipo I (bolsa 42.5kg),5.45,Bolsa,24.5
REP-SYN-0003,2026-06-03,OBR-PRE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,2.82,Hora Máquina,55
REP-SYN-0004,2026-06-04,OBR-PRE,Mano de Obra,LH-CAP,Capataz de Edificación,16,Hora Hombre,28
REP-SYN-0004,2026-06-04,OBR-PRE,Mano de Obra,LH-OPE,Operario de Obra Civil,36,Hora Hombre,22.5
REP-SYN-0004,2026-06-04,OBR-PRE,Mano de Obra,LH-PEO,Peón de Construcción,21,Hora Hombre,14.5
REP-SYN-0004,2026-06-04,OBR-PRE,Material,MAT-CEM,Cemento Portland Tipo I (bolsa 42.5kg),2.36,Bolsa,24.5
REP-SYN-0004,2026-06-04,OBR-PRE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,3.52,Hora Máquina,55
REP-SYN-0005,2026-06-05,MOV-TIE,Mano de Obra,LH-CAP,Capataz de Edificación,14,Hora Hombre,28
REP-SYN-0005,2026-06-05,MOV-TIE,Mano de Obra,LH-OPE,Operario de Obra Civil,24,Hora Hombre,22.5
REP-SYN-0005,2026-06-05,MOV-TIE,Mano de Obra,LH-PEO,Peón de Construcción,8,Hora Hombre,14.5
REP-SYN-0005,2026-06-05,MOV-TIE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,6.56,Hora Máquina,55
REP-SYN-0005,2026-06-05,MOV-TIE,Equipo,EQ-VOL,Camión Volquete Volvo 15m3,4.64,Hora Máquina,42
REP-SYN-0006,2026-06-05,OBR-PRE,Mano de Obra,LH-CAP,Capataz de Edificación,28,Hora Hombre,28
REP-SYN-0006,2026-06-05,OBR-PRE,Mano de Obra,LH-OPE,Operario de Obra Civil,24,Hora Hombre,22.5
REP-SYN-0006,2026-06-05,OBR-PRE,Mano de Obra,LH-PEO,Peón de Construcción,16,Hora Hombre,14.5
REP-SYN-0006,2026-06-05,OBR-PRE,Material,MAT-CEM,Cemento Portland Tipo I (bolsa 42.5kg),4.46,Bolsa,24.5
REP-SYN-0006,2026-06-05,OBR-PRE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,4.16,Hora Máquina,55
REP-SYN-0007,2026-06-06,MOV-TIE,Mano de Obra,LH-CAP,Capataz de Edificación,18,Hora Hombre,28
REP-SYN-0007,2026-06-06,MOV-TIE,Mano de Obra,LH-OPE,Operario de Obra Civil,8,Hora Hombre,22.5
REP-SYN-0007,2026-06-06,MOV-TIE,Mano de Obra,LH-PEO,Peón de Construcción,32,Hora Hombre,14.5
REP-SYN-0007,2026-06-06,MOV-TIE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,6.4,Hora Máquina,55
REP-SYN-0007,2026-06-06,MOV-TIE,Equipo,EQ-VOL,Camión Volquete Volvo 15m3,5.12,Hora Máquina,42
REP-SYN-0008,2026-06-06,OBR-PRE,Mano de Obra,LH-CAP,Capataz de Edificación,8,Hora Hombre,28
REP-SYN-0008,2026-06-06,OBR-PRE,Mano de Obra,LH-OPE,Operario de Obra Civil,16,Hora Hombre,22.5
REP-SYN-0008,2026-06-06,OBR-PRE,Mano de Obra,LH-PEO,Peón de Construcción,32,Hora Hombre,14.5
REP-SYN-0008,2026-06-06,OBR-PRE,Material,MAT-CEM,Cemento Portland Tipo I (bolsa 42.5kg),5.17,Bolsa,24.5
REP-SYN-0008,2026-06-06,OBR-PRE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,4.24,Hora Máquina,55
REP-SYN-0009,2026-06-07,MOV-TIE,Mano de Obra,LH-CAP,Capataz de Edificación,16,Hora Hombre,28
REP-SYN-0009,2026-06-07,MOV-TIE,Mano de Obra,LH-OPE,Operario de Obra Civil,8,Hora Hombre,22.5
REP-SYN-0009,2026-06-07,MOV-TIE,Mano de Obra,LH-PEO,Peón de Construcción,12,Hora Hombre,14.5
REP-SYN-0009,2026-06-07,MOV-TIE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,3.6,Hora Máquina,55
REP-SYN-0009,2026-06-07,MOV-TIE,Equipo,EQ-VOL,Camión Volquete Volvo 15m3,2.32,Hora Máquina,42
REP-SYN-0010,2026-06-07,OBR-PRE,Mano de Obra,LH-CAP,Capataz de Edificación,12,Hora Hombre,28
REP-SYN-0010,2026-06-07,OBR-PRE,Mano de Obra,LH-OPE,Operario de Obra Civil,16,Hora Hombre,22.5
REP-SYN-0010,2026-06-07,OBR-PRE,Mano de Obra,LH-PEO,Peón de Construcción,4,Hora Hombre,14.5
REP-SYN-0010,2026-06-07,OBR-PRE,Material,MAT-CEM,Cemento Portland Tipo I (bolsa 42.5kg),3.22,Bolsa,24.5
REP-SYN-0010,2026-06-07,OBR-PRE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,1.76,Hora Máquina,55
REP-SYN-0011,2026-06-08,MOV-TIE,Mano de Obra,LH-CAP,Capataz de Edificación,24,Hora Hombre,28
REP-SYN-0011,2026-06-08,MOV-TIE,Mano de Obra,LH-OPE,Operario de Obra Civil,7,Hora Hombre,22.5
REP-SYN-0011,2026-06-08,MOV-TIE,Mano de Obra,LH-PEO,Peón de Construcción,16,Hora Hombre,14.5
REP-SYN-0011,2026-06-08,MOV-TIE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,7.44,Hora Máquina,55
REP-SYN-0011,2026-06-08,MOV-TIE,Equipo,EQ-VOL,Camión Volquete Volvo 15m3,5.84,Hora Máquina,42
REP-SYN-0012,2026-06-08,OBR-PRE,Mano de Obra,LH-CAP,Capataz de Edificación,32,Hora Hombre,28
REP-SYN-0012,2026-06-08,OBR-PRE,Mano de Obra,LH-OPE,Operario de Obra Civil,36,Hora Hombre,22.5
REP-SYN-0012,2026-06-08,OBR-PRE,Mano de Obra,LH-PEO,Peón de Construcción,21,Hora Hombre,14.5
REP-SYN-0012,2026-06-08,OBR-PRE,Material,MAT-CEM,Cemento Portland Tipo I (bolsa 42.5kg),3.91,Bolsa,24.5
REP-SYN-0012,2026-06-08,OBR-PRE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,3.2,Hora Máquina,55
REP-SYN-0013,2026-06-09,MOV-TIE,Mano de Obra,LH-CAP,Capataz de Edificación,6,Hora Hombre,28
REP-SYN-0013,2026-06-09,MOV-TIE,Mano de Obra,LH-OPE,Operario de Obra Civil,24,Hora Hombre,22.5
REP-SYN-0013,2026-06-09,MOV-TIE,Mano de Obra,LH-PEO,Peón de Construcción,6,Hora Hombre,14.5
REP-SYN-0013,2026-06-09,MOV-TIE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,4.92,Hora Máquina,55
REP-SYN-0013,2026-06-09,MOV-TIE,Equipo,EQ-VOL,Camión Volquete Volvo 15m3,3.42,Hora Máquina,42
REP-SYN-0014,2026-06-09,OBR-PRE,Mano de Obra,LH-CAP,Capataz de Edificación,24,Hora Hombre,28
REP-SYN-0014,2026-06-09,OBR-PRE,Mano de Obra,LH-OPE,Operario de Obra Civil,18,Hora Hombre,22.5
REP-SYN-0014,2026-06-09,OBR-PRE,Mano de Obra,LH-PEO,Peón de Construcción,10,Hora Hombre,14.5
REP-SYN-0014,2026-06-09,OBR-PRE,Material,MAT-CEM,Cemento Portland Tipo I (bolsa 42.5kg),5.26,Bolsa,24.5
REP-SYN-0014,2026-06-09,OBR-PRE,Equipo,EQ-RET,Retroexcavadora CAT 320 Orugas,3.48,Hora Máquina,55
REP-SYN-0015,2026-06-10,MOV-TIE,Mano de Obra,LH-CAP,Capataz de Edificación,8,Hora Hombre,28
REP-SYN-0015,2026-06-10,MOV-TIE,Mano de Obra,LH-OPE,Operario de Obra Civil,24,Hora Hombre,22.5
